Year,Rail,Sea,River,Road,Air,Pipeline,Total_Volume,Rail_Share,Sea_Share,River_Share,Road_Share,Air_Share,Pipeline_Share,Dominant_Mode,Rail_Share_Lag1,Rail_Share_Lag2,Rail_Share_Lag3,Rail_Share_Growth,Rail_Share_RollingMean3,Rail_Share_RollingStd3,Sea_Share_Lag1,Sea_Share_Lag2,Sea_Share_Lag3,Sea_Share_Growth,Sea_Share_RollingMean3,Sea_Share_RollingStd3,River_Share_Lag1,River_Share_Lag2,River_Share_Lag3,River_Share_Growth,River_Share_RollingMean3,River_Share_RollingStd3,Road_Share_Lag1,Road_Share_Lag2,Road_Share_Lag3,Road_Share_Growth,Road_Share_RollingMean3,Road_Share_RollingStd3,Air_Share_Lag1,Air_Share_Lag2,Air_Share_Lag3,Air_Share_Growth,Air_Share_RollingMean3,Air_Share_RollingStd3,Pipeline_Share_Lag1,Pipeline_Share_Lag2,Pipeline_Share_Lag3,Pipeline_Share_Growth,Pipeline_Share_RollingMean3,Pipeline_Share_RollingStd3,Year_Normalized
1995,360225.3,20797.8,12844.6,1816401.0,19.0,245527.4,2455815.1,14.668258208852938,0.8468797182654345,0.5230279755181895,73.9632637652566,0.000773673881229902,9.997796658225612,Road,,,,,14.668258208852938,,,,,,0.8468797182654345,,,,,,0.5230279755181895,,,,,,73.9632637652566,,,,,,0.000773673881229902,,,,,,9.997796658225612,,0.0
1996,296050.7,14214.2,7740.3,1254540.2,17.2,245665.2,1818227.7999999998,16.282376718692788,0.7817612292585121,0.42570573390198974,68.99796604143881,0.0009459760762650314,13.511244300631638,Road,14.668258208852938,,,11.004159368190415,15.475317463772864,1.1413541439464823,0.8468797182654345,,,-7.689225234995245,0.8143204737619734,0.04604572515741652,0.5230279755181895,,,-18.60746387796519,0.4743668547100896,0.06881721700709045,73.9632637652566,,,-6.713194457692628,71.48061490334771,3.510995691121689,0.000773673881229902,,,22.270649070021875,0.0008598249787474667,0.00012183605052266705,9.997796658225612,,,35.1422194560775,11.754520479428624,2.48438265328919,0.04
1997,293523.5,10407.4,8567.0,1249866.6,13.5,236698.7,1799076.7,16.315229917657206,0.5784856198737942,0.4761887027940499,69.47266895291347,0.0007503849057686091,13.156676421855723,Road,16.282376718692788,14.668258208852938,,0.20177151979723362,15.75528828173431,0.9415389623812226,0.7817612292585121,0.8468797182654345,,-26.002262810797294,0.7357088557992469,0.139998085125437,0.42570573390198974,0.5230279755181895,,11.858653729968992,0.474974137404743,0.04867248766104077,68.99796604143881,73.9632637652566,,0.6879955145193017,70.8112995865363,2.7399807210074725,0.0009459760762650314,0.000773673881229902,,-20.676122304135735,0.0008233449544211808,0.00010683813985660816,13.511244300631638,9.997796658225612,,-2.6242429704223413,12.221905793570992,1.9342765261487287,0.08
1998,286321.5,8775.7,9045.3,1081326.2,15.5,240954.9,1626439.0999999999,17.604194340876337,0.5395652379483499,0.5561413273943058,66.48427229768394,0.0009530021751198678,14.81487379392195,Road,16.315229917657206,16.282376718692788,14.668258208852938,7.900375475702881,16.733933659075444,0.7538468504192112,0.5784856198737942,0.7817612292585121,0.8468797182654345,-6.727977427327481,0.633270695693552,0.13006067027011092,0.4761887027940499,0.42570573390198974,0.5230279755181895,16.790113694661745,0.48601192136344845,0.06577030279480103,69.47266895291347,68.99796604143881,73.9632637652566,-4.301542894882838,68.31830243067874,1.605953178050449,0.0007503849057686091,0.0009459760762650314,0.000773673881229902,27.001778393146193,0.0008831210523845027,0.00011500654320562156,13.156676421855723,13.511244300631638,9.997796658225612,12.603467007151202,13.827598172136438,0.8731921095577415,0.12
1999,284244.3,8662.3,7763.5,1024564.8,15.0,237583.5,1562833.4,18.187754369723606,0.5542689323122989,0.4967580037641889,65.55815866233728,0.0009597952027388205,15.202100236659904,Road,17.604194340876337,16.315229917657206,16.282376718692788,3.314891994189484,17.36905954275238,0.9581509462831203,0.5395652379483499,0.5784856198737942,0.7817612292585121,2.7251003826448406,0.5574399300448144,0.01965300110085846,0.5561413273943058,0.4761887027940499,0.42570573390198974,-10.677739758767101,0.5096960113175149,0.0415168589214647,66.48427229768394,69.47266895291347,68.99796604143881,-1.3929815328352912,67.17169997097824,2.045792098006261,0.0009530021751198678,0.0007503849057686091,0.0009459760762650314,0.7128029501189959,0.0008877274278757658,0.00011899059874680894,14.81487379392195,13.156676421855723,13.511244300631638,2.61376808283591,14.391216817479192,1.086532820861153,0.16
2000,291991.6,8658.0,9550.8,1033096.0,19.3,222883.3,1566199.0,18.64332693355059,0.5528033155429163,0.6098075659606473,65.96198822754963,0.001232282743125235,14.23084167465309,Road,18.187754369723606,17.604194340876337,16.315229917657206,2.5048312978393605,18.14509188138351,0.5208782988597325,0.5542689323122989,0.5395652379483499,0.5784856198737942,-0.26442340242097684,0.5488791619345217,0.00809931436257615,0.4967580037641889,0.5561413273943058,0.4761887027940499,22.75747171456206,0.5542356323730473,0.05654886942581853,65.55815866233728,66.48427229768394,69.47266895291347,0.6159867413181974,66.00147306252363,0.46431767739180846,0.0009597952027388205,0.0009530021751198678,0.0007503849057686091,28.39017527998251,0.0010483600403279744,0.00015931794236445914,15.202100236659904,14.81487379392195,13.156676421855723,-6.388976173598837,14.749271901744981,0.4889412078775861,0.2
2001,308253.5,8967.6,10899.9,1055562.9,23.3,224719.1,1608426.3,19.164912933840984,0.5575387569825239,0.6776748179260684,65.6270604378951,0.001448620928419288,13.971364432426899,Road,18.64332693355059,18.187754369723606,17.604194340876337,2.797708811037092,18.665331412371728,0.4889507773520042,0.5528033155429163,0.5542689323122989,0.5395652379483499,0.8566231978831107,0.554870334945913,0.0024243277940071413,0.6098075659606473,0.4967580037641889,0.5561413273943058,11.1292899192728,0.5947467958836349,0.09139389207220308,65.96198822754963,65.55815866233728,66.48427229768394,-0.507758784497403,65.71573577592733,0.2160256144912804,0.001232282743125235,0.0009597952027388205,0.0009530021751198678,17.555888573541978,0.0012135662914277811,0.00024494974320228704,14.23084167465309,15.202100236659904,14.81487379392195,-1.8233443120117987,14.468102114579963,0.6487657837933455,0.24
2002,326986.3,10519.8,10693.3,1061980.5,23.8,241951.0,1652154.7,19.7915062070156,0.636732141366665,0.6472335792768075,64.27851459672632,0.001440543067788991,14.644572932546811,Road,19.164912933840984,18.64332693355059,18.187754369723606,3.269481449447098,19.199915358135726,0.5748893704736096,0.5575387569825239,0.5528033155429163,0.5542689323122989,14.20410391068534,0.5823580712973684,0.04714881465458694,0.6776748179260684,0.6098075659606473,0.4967580037641889,-4.492012665074707,0.6449053210545078,0.03399347822887204,65.6270604378951,65.96198822754963,65.55815866233728,-2.0548624792435133,65.28918775405701,0.8911449541361988,0.001448620928419288,0.001232282743125235,0.0009597952027388205,-0.5576241839272078,0.001373815579777838,0.0001226375588728431,13.971364432426899,14.23084167465309,15.202100236659904,4.8184878676375,14.282259679875601,0.3395368604499823,0.28
2003,354347.0,9811.2,13098.8,1114515.6,27.1,234327.9,1726127.6,20.528436020604733,0.5683936691586416,0.7588546756334815,64.56739351134875,0.001569988221033022,13.575352135033352,Road,19.7915062070156,19.164912933840984,18.64332693355059,3.723465035359008,19.828285053820437,0.682505175594775,0.636732141366665,0.5575387569825239,0.5528033155429163,-10.732687698369281,0.5875548558359435,0.042933219524226345,0.6472335792768075,0.6776748179260684,0.6098075659606473,17.245875357918685,0.6945876909454526,0.057700530702012406,64.27851459672632,65.6270604378951,65.96198822754963,0.44941753311322774,64.82432284865672,0.7100376642901739,0.001440543067788991,0.001448620928419288,0.001232282743125235,8.985857912787655,0.001486384072413767,7.251588245242313e-05,14.644572932546811,13.971364432426899,14.23084167465309,-7.301140172801979,14.06376316666902,0.5405658359774488,0.32
2004,374768.9,8425.4,14247.9,1144211.7,36.5,242084.1,1783774.5,21.009881013547396,0.47233548859455043,0.7987500662219356,64.14553521199008,0.0020462227708715423,13.571451996875167,Road,20.528436020604733,19.7915062070156,19.164912933840984,2.3452589981011185,20.443274413722577,0.6136356139949078,0.5683936691586416,0.636732141366665,0.5575387569825239,-16.899938506753642,0.5591537663732856,0.08258690400590729,0.7588546756334815,0.6472335792768075,0.6776748179260684,5.2573163043569515,0.7349461070440748,0.078536782421004,64.56739351134875,64.27851459672632,65.6270604378951,-0.6533612035686809,64.3304811066884,0.21567682954550352,0.001569988221033022,0.001440543067788991,0.001448620928419288,30.33363839667327,0.0016855846865645185,0.0003189574937418353,13.575352135033352,14.644572932546811,13.971364432426899,-0.028729554264161905,13.930459021485111,0.6184438626490698,0.36
2005,373676.6,9249.7,15967.2,1205307.7,35.7,212724.8,1816961.7,20.566014132273676,0.5090751224970785,0.8787857223407627,66.33643956281522,0.001964818520940755,11.707720641552323,Road,21.009881013547396,20.528436020604733,19.7915062070156,-2.11265775844951,20.701443722141935,0.26777453326689044,0.47233548859455043,0.5683936691586416,0.636732141366665,7.778292080454952,0.5166014267500901,0.04846934551964354,0.7987500662219356,0.7588546756334815,0.6472335792768075,10.02011261136959,0.8121301547320599,0.06107482351575138,64.14553521199008,64.56739351134875,64.27851459672632,3.415521195020932,65.01645609538468,1.1624363947769423,0.0020462227708715423,0.001569988221033022,0.001440543067788991,-3.978269184059313,0.0018603431709484398,0.00025472762057143983,13.571451996875167,13.575352135033352,14.644572932546811,-13.732733651137474,12.95150825782028,1.0771534377959189,0.4
